K,pooling_ratio,edge_ratio,reward,id,dataset,lr,dropout_ratio,num_layers,batch_size,weight_decay
4,0.20866023677948736,0.8054028810401039,0.8214285714285714,NkmQU,PROTEINS,0.001,0.3019544032562347,6,64,0
3,0.3681084599446394,0.7570843924568355,0.8303571428571429,xHESO,PROTEINS,0.001,0.29571341888536357,5,64,0
3,0.36081949487910325,0.803098165700653,0.8392857142857143,FzYsB,PROTEINS,0.001,0.2952325005282216,5,64,0
3,0.7094676311463206,0.8257132110718495,0.7857142857142857,vDLYs,PROTEINS,0.001,0.30642968950147387,5,64,0
3,0.3065418685869641,0.7977833264044224,0.7857142857142857,oUDPm,PROTEINS,0.001,0.21645311056195618,5,64,0
4,0.17034947234773468,0.6577104799529611,0.8125,lKUWo,PROTEINS,0.001,0.42237186081518213,2,64,0
2,0.30077617232269194,0.8053746380898349,0.8571428571428571,A0NWm,PROTEINS,0.001,0.3070114413692371,5,64,0
2,0.7948551464807226,0.8823800704885046,0.8482142857142857,dVoIi,PROTEINS,0.001,0.304716112105891,5,64,0
2,0.3038464824662181,0.8510483945626817,0.7946428571428571,eepIH,PROTEINS,0.001,0.41915317011067926,5,64,0
2,0.10126603874118406,0.8311999568232891,0.8392857142857143,JIFsW,PROTEINS,0.001,0.3040309487134376,5,64,0
2,0.1748166638362615,0.8034373779417632,0.8303571428571429,Yfq6m,PROTEINS,0.001,0.6201588309507157,5,64,0
2,0.7897606284737659,0.8291424206435927,0.8035714285714286,QrR6D,PROTEINS,0.001,0.2190420525028213,5,64,0
2,0.1709233163955125,0.8026941667359162,0.8571428571428571,qFmmp,PROTEINS,0.001,0.29775920511450976,5,64,0
2,0.2995459242662054,0.795464693894452,0.8392857142857143,ia5Xk,PROTEINS,0.001,0.579746620071258,5,64,0
4,0.10283055174288641,0.8803663163960614,0.8035714285714286,bHaS2,PROTEINS,0.001,0.5199809502812427,5,64,0
4,0.16964715871177266,0.8815854571532663,0.75,XrMWW,PROTEINS,0.001,0.6185494028283672,5,64,0
4,0.16751868135892753,0.8781810378921457,0.7857142857142857,X6g4Y,PROTEINS,0.001,0.6120991893296479,5,64,0
4,0.6669524326707872,0.9189222484203143,0.8214285714285714,c32tr,PROTEINS,0.001,0.2966909640363612,5,64,0
4,0.3010654888387605,0.8007643786850815,0.8571428571428571,HGM4W,PROTEINS,0.001,0.4173934799523601,5,64,0
4,0.7041174306200852,0.8831784153888227,0.8035714285714286,YQ1Hy,PROTEINS,0.001,0.334540419368341,5,64,0
2,0.1016297126821884,0.8828922582092414,0.8660714285714286,zhqHH,PROTEINS,0.001,0.2980426574133812,5,64,0
2,0.7970737160490816,0.8261747508022893,0.8482142857142857,WAaSI,PROTEINS,0.001,0.3020306989313645,5,64,0
1,0.7927217642453768,0.8900538428863418,0.7767857142857143,t01py,PROTEINS,0.001,0.3042010799636791,5,64,0
2,0.10102101840139899,0.8868958670070324,0.7589285714285714,FOJ2k,PROTEINS,0.001,0.6132028747076883,5,64,0
2,0.2974516769409172,0.7070970184666501,0.8214285714285714,edsED,PROTEINS,0.001,0.301178025018903,5,64,0
2,0.3066925802987259,0.7236439023433904,0.8214285714285714,F6D6u,PROTEINS,0.001,0.29607333821434384,5,64,0
2,0.1012149371442562,0.881891097646797,0.8482142857142857,lcuCC,PROTEINS,0.001,0.6173814180370882,5,64,0
2,0.42384236887030713,0.8798888170081571,0.8571428571428571,soyDV,PROTEINS,0.001,0.5871068014578763,5,64,0
2,0.7689713888351941,0.9208817718443063,0.8303571428571429,hhuen,PROTEINS,0.001,0.2962774935767832,5,64,0
