id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
uo5vl,0,256,0.7898550724637681,NCI109,0,0.001,0.8432292959798156,0.8102538238220673,2,4
AMLXy,0,256,0.782608695652174,NCI109,0,0.001,0.5530479232153209,0.8115089211043252,2,4
v6eQu,0,256,0.6352657004830918,NCI109,0,0.001,0.5579256804429897,0.81015209877335,2,1
Ynen0,0,256,0.6545893719806763,NCI109,0,0.001,0.5631359938898888,0.744783248893263,2,1
An9h1,0,256,0.8067632850241546,NCI109,0,0.001,0.5649017267109218,0.8153984978798319,4,4
BkvpM,0,256,0.8043478260869565,NCI109,0,0.001,0.5560277516803931,0.8091800624099263,4,4
ZJWyW,0,256,0.7729468599033816,NCI109,0,0.001,0.5610396503006406,0.8004022308600856,4,4
lwnU2,0,256,0.8043478260869565,NCI109,0,0.001,0.5564984720870609,0.8047511947837104,4,4
DyvGf,0,256,0.7874396135265701,NCI109,0,0.001,0.555253426674151,0.7363719390524405,4,4
NCVov,0,256,0.7971014492753623,NCI109,0,0.001,0.5549272689686898,0.80452149079861,2,4
C6XuY,0,256,0.7753623188405797,NCI109,0,0.001,0.5603077525158138,0.801793402020898,2,4
deWPL,0,256,0.6739130434782609,NCI109,0,0.001,0.26402318402245606,0.7443356335886219,2,1
vW8hx,0,256,0.6352657004830918,NCI109,0,0.001,0.5673851014320026,0.816174534271804,2,1
IZA6z,0,256,0.6763285024154589,NCI109,0,0.001,0.4891531979718354,0.8110652165438579,5,1
iszJK,0,256,0.6690821256038647,NCI109,0,0.001,0.27520635923314196,0.8856768241422226,5,1
s1avm,0,256,0.678743961352657,NCI109,0,0.001,0.2660380323045169,0.8154257991850766,5,1
JPYaO,0,256,0.7584541062801933,NCI109,0,0.001,0.2636999173570364,0.8919382617181981,5,2
xWDIl,0,256,0.6859903381642513,NCI109,0,0.001,0.2682098778398737,0.8850503699879387,5,1
rd2fL,0,256,0.6908212560386473,NCI109,0,0.001,0.4942728777672987,0.8942896826061091,5,1
OOdlm,0,256,0.6835748792270532,NCI109,0,0.001,0.4922502276516265,0.7653368129568051,5,1
RzySt,0,256,0.678743961352657,NCI109,0,0.001,0.27162855434698197,0.895961003004018,5,1
fhJ1I,0,256,0.6690821256038647,NCI109,0,0.001,0.2672700084278057,0.8921597829142234,5,1
WmnFs,0,256,0.644927536231884,NCI109,0,0.001,0.26006686623150405,0.764978525066898,5,1
iioq9,0,256,0.7777777777777778,NCI109,0,0.001,0.2689966135727686,0.8963547929238855,5,2
rEpCF,0,256,0.644927536231884,NCI109,0,0.001,0.25697311331701317,0.7691530411569659,5,1
pPCYm,0,256,0.7681159420289855,NCI109,0,0.001,0.36361104690476587,0.7757859692082197,5,2
mbpbX,0,256,0.7657004830917874,NCI109,0,0.001,0.40796635234720435,0.8990023479577498,5,2
Xjg36,0,256,0.7536231884057971,NCI109,0,0.001,0.26491980880426846,0.8993286678900269,5,2
JZmSb,0,256,0.7729468599033816,NCI109,0,0.001,0.26387114781836796,0.5600749805139895,5,2
YUPoI,0,256,0.7729468599033816,NCI109,0,0.001,0.2643677206250189,0.7664111491595501,5,2
VE21h,0,256,0.785024154589372,NCI109,0,0.001,0.2595604908161443,0.8871904455430052,5,2
k4MQf,0,256,0.751207729468599,NCI109,0,0.001,0.2704032605373165,0.8890445940330087,5,2
fTSr6,0,256,0.7632850241545893,NCI109,0,0.001,0.39201792031478194,0.8907587069641242,5,2
uKVJd,0,256,0.7632850241545893,NCI109,0,0.001,0.6192814420803906,0.48390542131883885,5,2
L6cv8,0,256,0.7608695652173914,NCI109,0,0.001,0.3714515385902534,0.5393490514758107,3,2
wWMLB,0,256,0.751207729468599,NCI109,0,0.001,0.6168194538239224,0.5398540648941634,3,2
ZrnEt,0,256,0.7608695652173914,NCI109,0,0.001,0.3722631028374912,0.5617305153804917,3,2
R6Cvm,0,256,0.7391304347826086,NCI109,0,0.001,0.6284636695415783,0.5601845893533197,3,2
m3wh4,0,256,0.7608695652173914,NCI109,0,0.001,0.6140095408139622,0.5579106226078769,3,2
ZKUM0,0,256,0.7657004830917874,NCI109,0,0.001,0.6228512541027189,0.5625917100357636,3,2
kH6OD,0,256,0.7632850241545893,NCI109,0,0.001,0.6242172261334533,0.5585590533691069,3,2
BT3Ye,0,256,0.7560386473429952,NCI109,0,0.001,0.3788191801804506,0.5430270304878473,3,2
Hc5wQ,0,256,0.7801932367149759,NCI109,0,0.001,0.6312611468575402,0.4810360676464076,3,4
zR2x6,0,256,0.7801932367149759,NCI109,0,0.001,0.3775018926638153,0.6991136429099299,3,4
Zfn4t,0,256,0.7946859903381642,NCI109,0,0.001,0.35355487802070446,0.39250745904278433,3,4
ly1Cz,0,256,0.782608695652174,NCI109,0,0.001,0.3820242895957663,0.699291621592251,3,4
oJVre,0,256,0.7439613526570048,NCI109,0,0.001,0.6250243601726141,0.4926777511545524,3,4
khd8c,0,256,0.782608695652174,NCI109,0,0.001,0.3658531500197475,0.48005239166034797,3,4
tR8bQ,0,256,0.7681159420289855,NCI109,0,0.001,0.8810409036581609,0.6976123724272274,3,4
L9bSK,0,256,0.7777777777777778,NCI109,0,0.001,0.915972774053369,0.4489480411939225,3,4
