pooling_ratio,num_layers,dataset,dropout_ratio,weight_decay,K,lr,batch_size,edge_ratio,reward,id
0.48173125187543087,3,FRANKENSTEIN,0,0,4,0.001,256,0.8790988605334494,0.6482758620689655,Uz6IN
0.8810238221735565,3,FRANKENSTEIN,0,0,4,0.001,256,0.3650355982398681,0.6919540229885057,NWzuC
0.45561894902496936,3,FRANKENSTEIN,0,0,4,0.001,256,0.3752744899541522,0.6781609195402298,jq0LH
0.8889202618302248,3,FRANKENSTEIN,0,0,4,0.001,256,0.37948423956173666,0.6781609195402298,JWlCX
0.8888307438300781,3,FRANKENSTEIN,0,0,4,0.001,256,0.3822464260400306,0.6275862068965518,sFRyV
0.41071296253312317,3,FRANKENSTEIN,0,0,4,0.001,256,0.4009598672224561,0.6528735632183909,bSPQR
0.8396622974635156,3,FRANKENSTEIN,0,0,4,0.001,256,0.3694151458507618,0.6666666666666666,MI7uq
0.41079545184300575,3,FRANKENSTEIN,0,0,4,0.001,256,0.35843006803468025,0.6459770114942529,eIJBs
0.8689750671792416,3,FRANKENSTEIN,0,0,4,0.001,256,0.3254201699930419,0.6919540229885057,Yf2YY
0.8791879931912733,3,FRANKENSTEIN,0,0,4,0.001,256,0.340069214132368,0.6735632183908046,wrAUE
0.8308662610639439,3,FRANKENSTEIN,0,0,4,0.001,256,0.3441589431673103,0.6873563218390805,TVxZu
0.8879187542770703,3,FRANKENSTEIN,0,0,3,0.001,256,0.36941273400064556,0.6758620689655173,CRYxZ
0.40764788541076025,2,FRANKENSTEIN,0,0,3,0.001,256,0.35957454819161827,0.6505747126436782,LcWKA
0.8811054243766561,2,FRANKENSTEIN,0,0,3,0.001,256,0.3622784173003807,0.664367816091954,tWXMI
0.8912354376502387,2,FRANKENSTEIN,0,0,3,0.001,256,0.3316044118567474,0.664367816091954,C9mrP
0.8655674127559443,2,FRANKENSTEIN,0,0,3,0.001,256,0.32205628463979763,0.6482758620689655,cFCaV
0.8915516716595889,2,FRANKENSTEIN,0,0,3,0.001,256,0.315484198319325,0.671264367816092,HeIMK
0.8574297679686361,2,FRANKENSTEIN,0,0,3,0.001,256,0.2842225886970815,0.6620689655172414,x6IiV
0.8491981107829853,2,FRANKENSTEIN,0,0,3,0.001,256,0.27025391528095394,0.6666666666666666,OvC1c
0.8297824076724236,2,FRANKENSTEIN,0,0,3,0.001,256,0.31504497062673287,0.6551724137931034,rIKOU
0.8818996196390326,2,FRANKENSTEIN,0,0,3,0.001,256,0.30937926884030503,0.6482758620689655,PW7Kw
0.8005562758997864,2,FRANKENSTEIN,0,0,3,0.001,256,0.5114448995304597,0.6482758620689655,aggpZ
0.8795331929981036,2,FRANKENSTEIN,0,0,3,0.001,256,0.2775807988192227,0.6735632183908046,EkTyx
0.7358770575716378,2,FRANKENSTEIN,0,0,3,0.001,256,0.2698655834558367,0.6528735632183909,iabKz
0.7206788216048989,2,FRANKENSTEIN,0,0,3,0.001,256,0.2751234068504912,0.6528735632183909,sgt8C
0.71551312128374,2,FRANKENSTEIN,0,0,3,0.001,256,0.2663195798835292,0.6505747126436782,Ttix6
0.8216859027440745,2,FRANKENSTEIN,0,0,3,0.001,256,0.28385867656053687,0.6620689655172414,qkX10
0.7234720074948852,5,FRANKENSTEIN,0,0,3,0.001,256,0.25776162305076605,0.696551724137931,VIVvA
0.7315049945963185,5,FRANKENSTEIN,0,0,3,0.001,256,0.3009895540946592,0.6942528735632184,oukg9
0.7269108689944523,5,FRANKENSTEIN,0,0,1,0.001,256,0.2683564106797216,0.5724137931034483,lgADc
0.7271049561245919,5,FRANKENSTEIN,0,0,4,0.001,256,0.2813811253407517,0.664367816091954,bKYBL
0.7291261714224483,5,FRANKENSTEIN,0,0,4,0.001,256,0.5065076805296389,0.6758620689655173,eXmVZ
0.8011433413451301,5,FRANKENSTEIN,0,0,4,0.001,256,0.47841374453021884,0.671264367816092,Xp35J
0.8147711167773902,4,FRANKENSTEIN,0,0,4,0.001,256,0.5046736867127034,0.664367816091954,GTYP0
0.7286972932441083,5,FRANKENSTEIN,0,0,4,0.001,256,0.5210257992028142,0.6896551724137931,SSbnA
0.7921748314563533,5,FRANKENSTEIN,0,0,4,0.001,256,0.5049672187061403,0.6574712643678161,mjyUy
0.7161693565116594,5,FRANKENSTEIN,0,0,1,0.001,256,0.48791219378869966,0.5678160919540229,xVo1d
0.7232607596096317,5,FRANKENSTEIN,0,0,1,0.001,256,0.5048150584992777,0.5862068965517241,ipjyJ
0.801134394520203,5,FRANKENSTEIN,0,0,1,0.001,256,0.5009988534384382,0.5862068965517241,pATFi
