dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.8862372203243315,64,0.001,0.0001,achKT,0.8035714285714286,6,0.582507829182274,3
PROTEINS,0.5822354250157672,64,0.001,0.0001,cwiRI,0.8125,5,0.5380320318170805,3
PROTEINS,0.8748943214603238,64,0.001,0.0001,xX89R,0.8125,5,0.5360068100058054,3
PROTEINS,0.5676352211201547,64,0.001,0.0001,mEXKF,0.8035714285714286,5,0.5445206555908078,3
PROTEINS,0.564943956881977,64,0.001,0.0001,EcFZ0,0.7857142857142857,6,0.5458150180590007,3
PROTEINS,0.5635450192954223,64,0.001,0.0001,KPffM,0.7946428571428571,5,0.5336255143059397,3
PROTEINS,0.5927815950068747,64,0.001,0.0001,TTX59,0.8035714285714286,5,0.520137207799436,3
PROTEINS,0.5874085994102117,64,0.001,0.0001,ngSIA,0.8125,5,0.5300704692333604,3
PROTEINS,0.5928666282637047,64,0.001,0.0001,J68cS,0.8035714285714286,6,0.5182319567087568,3
PROTEINS,0.5997085809557603,64,0.001,0.0001,ABORK,0.7857142857142857,6,0.4892945937729225,3
PROTEINS,0.5665609126838085,64,0.001,0.0001,hL8Nc,0.8214285714285714,6,0.522096592446837,3
PROTEINS,0.5900576430899666,64,0.001,0.0001,UpgzC,0.7946428571428571,6,0.5149725760071632,3
PROTEINS,0.6041354498018721,64,0.001,0.0001,AMVDC,0.8125,6,0.5755180098001381,3
PROTEINS,0.6027124894277277,64,0.001,0.0001,q6ObQ,0.8125,6,0.5615138588045453,3
PROTEINS,0.62186407525052,64,0.001,0.0001,cWtI9,0.7857142857142857,6,0.5517414650882131,3
PROTEINS,0.5767511171963287,64,0.001,0.0001,TuSgW,0.8035714285714286,6,0.8859283372148845,3
PROTEINS,0.599701779119326,64,0.001,0.0001,hovQr,0.75,6,0.5185332373837651,3
PROTEINS,0.5911959152743039,64,0.001,0.0001,QOd1q,0.8482142857142857,6,0.5339816854311196,3
PROTEINS,0.6265290200870182,64,0.001,0,SpL0D,0.8571428571428571,5,0.1533531635182558,3
